Date	Time	ShopType	Owner	TradingPlayer	World	X	Y	Z	CostList	ProductList
2024-06-14	06:47:20	Trade	nasu_chacha	Lakshh007	nasu vally	580.0	64.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":40}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"ENCHANTED_BOOK","meta":{"==":"ItemMeta","meta-type":"ENCHANTED","stored-enchants":{"minecraft:mending":1}}}}
2024-06-14	06:50:13	Trade	Lakshh007	Lakshh007	nasu vally	575.0	65.0	-576.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":2}}
2024-06-14	06:51:02	Trade	Lakshh007	Lakshh007	nasu vally	575.0	65.0	-579.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"STRING"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"STRING","amount":2}}
2024-06-14	06:51:17	Trade	Lakshh007	Lakshh007	nasu vally	575.0	65.0	-579.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"STRING"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"STRING","amount":2}}
2024-06-14	06:51:32	Trade	Lakshh007	Lakshh007	nasu vally	575.0	65.0	-576.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":2}}
2024-06-14	06:51:32	Trade	Lakshh007	Lakshh007	nasu vally	575.0	65.0	-576.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":2}}
2024-06-14	06:51:33	Trade	Lakshh007	Lakshh007	nasu vally	575.0	65.0	-576.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":2}}
2024-06-14	06:51:33	Trade	Lakshh007	Lakshh007	nasu vally	575.0	65.0	-576.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":2}}
2024-06-14	06:51:33	Trade	Lakshh007	Lakshh007	nasu vally	575.0	65.0	-576.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":2}}
2024-06-14	06:51:33	Trade	Lakshh007	Lakshh007	nasu vally	575.0	65.0	-576.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":2}}
