Date	Time	ShopType	Owner	TradingPlayer	World	X	Y	Z	CostList	ProductList
2024-06-25	01:07:46	Trade	nasu_chacha	PuneetD	nasu vally	579.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":35}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"DIAMOND_HELMET","meta":{"==":"ItemMeta","meta-type":"ARMOR","enchants":{"minecraft:protection":1}}}}
2024-06-25	01:10:49	Trade	nasu_chacha	PuneetD	nasu vally	578.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":35}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"DIAMOND_CHESTPLATE","meta":{"==":"ItemMeta","meta-type":"ARMOR","enchants":{"minecraft:protection":1}}}}
2024-06-25	01:10:58	Trade	nasu_chacha	PuneetD	nasu vally	577.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":35}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"DIAMOND_LEGGINGS","meta":{"==":"ItemMeta","meta-type":"ARMOR","enchants":{"minecraft:fire_protection":1}}}}
2024-06-25	01:11:04	Trade	nasu_chacha	PuneetD	nasu vally	576.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":30}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"DIAMOND_BOOTS","meta":{"==":"ItemMeta","meta-type":"ARMOR","enchants":{"minecraft:fire_protection":2}}}}
