Date	Time	ShopType	Owner	TradingPlayer	World	X	Y	Z	CostList	ProductList
2024-06-15	07:30:16	Trade	nasu_chacha	nasu_chacha	nasu vally	579.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":35}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"DIAMOND_HELMET","meta":{"==":"ItemMeta","meta-type":"ARMOR","enchants":{"minecraft:protection":1}}}}
2024-06-15	07:30:24	Trade	nasu_chacha	nasu_chacha	nasu vally	578.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":35}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"DIAMOND_CHESTPLATE","meta":{"==":"ItemMeta","meta-type":"ARMOR","enchants":{"minecraft:protection":1}}}}
2024-06-15	07:30:28	Trade	nasu_chacha	nasu_chacha	nasu vally	577.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":35}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"DIAMOND_LEGGINGS","meta":{"==":"ItemMeta","meta-type":"ARMOR","enchants":{"minecraft:fire_protection":1}}}}
2024-06-15	07:30:35	Trade	nasu_chacha	nasu_chacha	nasu vally	576.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":30}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"DIAMOND_BOOTS","meta":{"==":"ItemMeta","meta-type":"ARMOR","enchants":{"minecraft:fire_protection":2}}}}
2024-06-15	07:30:55	Trade	nasu_chacha	nasu_chacha	nasu vally	577.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"IRON_INGOT","amount":35}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"DIAMOND_LEGGINGS","meta":{"==":"ItemMeta","meta-type":"ARMOR","enchants":{"minecraft:fire_protection":1}}}}
