Date	Time	ShopType	Owner	TradingPlayer	World	X	Y	Z	CostList	ProductList
2024-06-11	02:28:21	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:37	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:38	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:39	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:39	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:39	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:39	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:40	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:40	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:40	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:41	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:41	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:41	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:52	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:28:53	Trade	Lakshh007	nasu_chacha	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:34:46	Trade	Lakshh007	Lakshh007	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:34:46	Trade	Lakshh007	Lakshh007	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:34:46	Trade	Lakshh007	Lakshh007	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:34:46	Trade	Lakshh007	Lakshh007	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:34:46	Trade	Lakshh007	Lakshh007	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:34:47	Trade	Lakshh007	Lakshh007	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
2024-06-11	02:34:47	Trade	Lakshh007	Lakshh007	nasu vally	-15.0	72.0	148.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"STICK"}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3700,"type":"DIRT"}}
